"ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best.of","Winner","Loser","WRank","LRank","WPts","LPts","Set1_Score","Set2_Score","Set3_Score","Set4_Score","Set5_Score","Wsets","Lsets","Comment"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Cilic M.","Fabbiano T.",13,96,2710,592,"6-3","7-5","6-1",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Popyrin A.","Humbert U.",109,61,520,827,"3-6","6-3","7-6","6-3",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Ruud C.","Gulbis E.",63,79,810,687,"6-2","7-6","6-0",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Berrettini M.","Andujar P.",31,93,1320,602,"6-7","6-4","6-4","6-2",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Dimitrov G.","Tipsarevic J.",46,303,997,115,"6-3","6-0","3-6","6-7","6-4",3,2,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Tsitsipas S.","Marterer M.",6,116,4080,493,"6-2","6-2","7-6",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Otte O.","Jaziri M.",144,92,391,602,"6-3","6-1","4-6","6-0",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Nishikori K.","Halys Q.",7,151,3860,376,"6-2","6-3","6-4",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Mahut N.","Cecchinato M.",252,19,182,1840,"2-6","6-7","6-4","6-2","6-4",3,2,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Federer R.","Sonego L.",3,74,5950,732,"6-2","6-4","6-4",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Dellien H.","Gunneswaran P.",86,88,651,629,"6-1","6-3","6-1",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Schwartzman D.","Fucsovics M.",20,50,1755,965,"6-3","3-6","7-6","2-6","6-2",3,2,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Djere L.","Ramos-Vinolas A.",32,87,1314,640,"6-3","6-2","7-6",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Kohlschreiber P.","Haase R.",54,67,895,781,"6-4","6-4","6-7","6-1",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Mayer L.","Vesely J.",68,105,770,546,"7-6","6-3","6-0",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-26","Grand Slam","Outdoor","Clay","1st Round",5,"Goffin D.","Berankis R.",29,73,1325,734,"6-0","6-2","6-2",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Londero J.I.","Basilashvili N.",78,16,695,1970,"6-4","6-1","6-3",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Kecmanovic M.","Kudla D.",85,81,656,675,"6-0","6-7","5-7","6-3","6-4",3,2,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Carreno Busta P.","Sousa J.",57,70,860,750,"6-3","6-1","6-2",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"De Minaur A.","Klahn B.",25,89,1410,618,"6-1","6-4","6-4",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Herbert P.H.","Medvedev D.",43,14,1053,2625,"4-6","4-6","6-3","6-2","7-5",3,2,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Krajinovic F.","Tiafoe F.",60,34,838,1230,"6-2","4-6","6-3","3-6","6-0",3,2,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Moutet C.","Vatutin A.",110,212,515,234,"6-4","7-6","6-4",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Maden Y.","Coppejans K.",114,178,504,286,"7-6","7-5","6-3",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Garin C.","Opelka R.",37,59,1201,853,"7-6","7-5","7-6",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Gasquet R.","Zverev M.",39,102,1125,570,"6-3","6-4","6-3",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Carballes Baena R.","Muller A.",76,304,707,111,"6-4","6-4","6-2",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Nadal R.","Hanfmann Y.",2,180,7945,284,"6-2","6-1","6-3",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Coric B.","Bedene A.",15,95,2525,595,"6-1","6-7","6-4","6-4",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Pella G.","Andreozzi G.",23,101,1460,572,"7-6","6-4","1-6","6-1",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Laaksonen H.","Martinez P.",104,134,548,418,"6-1","6-0","7-6",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Wawrinka S.","Kovalik J.",28,132,1365,420,"6-1","6-7","6-2","6-3",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Simon G.","Stakhovsky S.",33,111,1235,512,"6-3","6-3","6-4",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Tsonga J.W.","Gojowczyk P.",82,121,670,465,"7-6","6-1","4-6","6-3",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Caruso S.","Munar J.",147,53,388,900,"7-5","4-6","6-3","6-3",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Djokovic N.","Hurkacz H.",1,44,12355,1040,"6-4","6-2","6-2",NA,NA,3,0,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Harris L.","Rosol L.",90,149,617,385,"6-1","4-6","2-6","6-1","6-2",3,2,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Paire B.","Copil M.",38,83,1168,667,"6-4","6-7","6-0","6-1",NA,3,1,"Completed"
32,"Paris","French Open","2019-05-27","Grand Slam","Outdoor","Clay","1st Round",5,"Albot R.","Sandgren T.",40,100,1101,574,"7-6","7-6","3-6","6-1",NA,3,1,"Completed"
